IRI	Label	Issue
http://purl.obolibrary.org/obo/OLAS_0000013	animal model for disease	not an RO property
http://purl.obolibrary.org/obo/OLAS_0000017	absent in process	not an RO property
http://purl.obolibrary.org/obo/OLAS_0000020	absent in location	not an RO property
http://purl.obolibrary.org/obo/OLAS_0000084	model for	not an RO property
http://purl.obolibrary.org/obo/OLAS_0000108	animal model for pathogen	not an RO property
http://purl.obolibrary.org/obo/OLAS_0000109	animal model for study	not an RO property
http://purl.obolibrary.org/obo/OLAS_0000110	animal model for phenotype	not an RO property
