IRI	Label	Issue
http://purl.obolibrary.org/obo/CAROLIO_0000222	has sign	not an RO property
http://purl.obolibrary.org/obo/CAROLIO_0000224	has painscale	not an RO property
http://purl.obolibrary.org/obo/CAROLIO_0000226	is painscale of	not an RO property
http://purl.obolibrary.org/obo/CAROLIO_0000227	is sign of	not an RO property
http://purl.obolibrary.org/obo/CAROLIO_0004111	has pain scale value	not an RO property
http://purl.obolibrary.org/obo/CAROLIO_0004222	has recurrent value	not an RO property
